Sprint Name ,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Steps,Expected Result,Actual Result
HeySales Studio> Call Library,TC0021_Verify Summary Section in Call Record Details,porsudar@paperflite.com,"Validate that the Summary section displays generated call report details such as Positives, Observations, and Suggestions",Manual,Medium,Functional,"1.Heysales should be enabled
2.CRM and Zoom should be Integrated
3.Call scoring should be pushed to Real call library","1. Login to HeySales with valid credentials.
2 Navigate to Call Library module.
3. Click on any call card from the list.
4. Navigate to the Summary section in the Call Record Details screen.","1. User should login successfully.
2. Call Library module should open with available calls.
3. On clicking a call card, the Call Record Details screen should open.
4. The Summary section should be displayed and the section should display generated report details including:
Positives, Observations and Suggestions that are generated for the call and pushed to CRM.","Verified that the Summary section displays generated report details including Positives, Observations, and Suggestions correctly."
HeySales Studio> Call Library,TC0022_Verify Scorecard Section in Call Record Details,porsudar@paperflite.com,Validate that the Scorecard section displays the detailed scoring generated for the call,Manual,Medium,Functional,"1.Heysales should be enabled
2.CRM and Zoom should be Integrated
3.Call scoring should be pushed to Real call library","1. Login to HeySales with valid credentials
.2. Navigate to Call Library.
3. Click on any call card
4. Navigate to the Scoring section.
5.Observe the details in that screen","1. User should be logged in successfully
2.Call Record should display in the list.
3. On clicking a call card, the Call Record Details screen should open.
4.The Scoring section should be visible.
5. The Default Scorecard detailed view generated in the CRM should be displayed.andThe scoring details should match the scorecard data generated for the call.",Verified that the Scorecard section displays the default scoring details generated for the call.
HeySales Studio> Call Library,TC0023_Verify Recording Section in Call Record Details,porsudar@paperflite.com,Validate that the audio recording of the call is available and playable in the Recording section,Manual,Medium,Functional,"1.Heysales should be enabled
2.CRM and Zoom should be Integrated
3.Call scoring should be pushed to Real call library","1. Login to HeySales with valid credentials.
2. Navigate to Call Library.
3. Click on any call card.
4. Navigate to the Recording section
5. Play the audio recording.","1. Call Record Details screen should open successfully.
2. The Recording section should display the audio recording of the call.
3. The audio player controls should be visible.
4. User should be able to play the recording without errors.",Verified that the Recording section displays the call audio and the audio player works as expected.
HeySales Studio> Call Library,TC0024_Verify Real Call Score Display and Percentage Conversion,porsudar@paperflite.com,"Validate that the Real Call Score is displayed on the top right corner of the Call Record Details screen, converted to percentage, and matches the score displayed in the Call Library list",Manual,High,Functional,"1.Heysales should be enabled
2.CRM and Zoom should be Integrated
3.Call scoring should be pushed to Real call library","1. Login to HeySales with valid credentials.
2. Navigate to the Call Library module.
3. Note the score displayed for any call card in the call list.
4. Click on the same call card to open the Call Record Details screen.
5. Observe the Real Call Score displayed in the top right corner.
6.Now go back to the homepage","1. User should login successfully.
2. Call Library module should display the list of calls with scores.
3. Score should be noted
4.On clicking a call card, the Call Record Details screen should open.
5. The Real Call Score should be displayed on the top right corner of the screen and the score generated out of 5 fetched from the CRM
6. The score should be converted to percentage (100%)and the percentage score displayed in the Homepage should match the score displayed in the Call detail screen","Verified that the Real Call Score is displayed in the top right corner, converted to percentage correctly, and matches the score shown in the Call Library list."
HeySales Studio> Call Library,TC0025_Verify Back to Meetings Navigation,porsudar@paperflite.com,Validate that clicking Back to Meetings navigates the user back to the Call Library homepage displaying the call list,Manual,Medium,Functional,"1.Heysales should be enabled
2.CRM and Zoom should be Integrated
3.Call scoring should be pushed to Real call library","1. Login to HeySales with valid credentials.
2. Navigate to the Call Library module.
3. Click on any call card from the list
4. On the Call Record Details screen, click Back to Meetings.","1. User should login successfully.
2. Call Library module should display the call list.
3. On clicking a call card, the Call Record Details screen should open.
4. Clicking Back to Meetings should navigate the user to the Call Library homepage showing the list of calls.",Verified that clicking Back to Meetings navigates the user back to the Call Library homepage displaying the call list.
HeySales Studio> Call Library,TC0026_Verify User Can Open Any Call Record from Call List,porsudar@paperflite.com,Validate that users can open any call record from the call list in Call Library,Manual,Medium,Functional,"1.Heysales should be enabled
2.CRM and Zoom should be Integrated
3.Call scoring should be pushed to Real call library","1. Login to HeySales with valid credentials.
2. Navigate to Call Library.
3. Observe the list of call cards.
4. Click on multiple call cards one by one.","1. User should login successfully.
2. Call Library should display available call records.
3. On clicking any call card, the system should navigate to the Call Record Details screen.
4. The corresponding call details should be displayed correctly.",Verified that the user is able to open and view details of any call record from the Call Library list successfully.
HeySales Studio> Call Library,TC0027_Verify Empty State When No Calls Are Available,porsudar@paperflite.com,Validate that the system displays an empty state message when no call recordings exist,Manual,Medium,UI,"1.Heysales should be enabled
2.CRM and Zoom should be Integrated
3.Call scoring should be pushed to Real call library","1. Login to HeySales with valid credentials.
2. Navigate to Call Library for an account where no calls are recorded.","1. User should login successfully.
2. Call Library page should load successfully and When no calls are available, the system should display the message ""No calls added yet!"".","Verified that when no call records are available, the system displays the message ""No calls added yet!"" correctly."
HeySales Studio> Call Library,TC0028_Verify Message When Audio Recording Is Not Available,porsudar@paperflite.com,Validate that the system displays a message when a call record exists but the audio recording is not available,Manual,Medium,UI,"1.Heysales should be enabled
2.CRM and Zoom should be Integrated
3.Call scoring should be pushed to Real call library","1. Login to HeySales with valid credentials
2. Navigate to Call Library
3. Click on a call card where recording is not available and Navigate to the Recording section.","1. User should login successfully.
2. Call Record Details screen should open.
3. Under the Recording section, if audio is not available, the system should display ""No Audio available"" message.","Verified that when a call record does not have an audio recording, the system displays the message ""No Audio available"" in the recording section."
HeySales Studio> Call Library,TC0029_Verify event pushed to CRM for each call when multiple calls exist for same deal,porsudar@paperflite.com,Validate that every call made for the same deal generates a separate event in CRM and appears in Real Call Library,Manual,Medium,Functional,"1.Heysales should be enabled
2.CRM and Zoom should be Integrated
","1.Login to the platform.
2.Ensure CRM integration is active.
3.Map a contact to a deal in CRM.
4.Conduct multiple calls(same Meeting id) for the same deal.
5.Allow the calls to sync with the platform.
6.Navigate to Real Call Library.
7.Check CRM activity timeline for the deal.","1.User should login successfully.
2.CRM integration should be active for the account.
3.Contact should be successfully mapped to the deal.
4.Multiple calls should be completed for the same deal.
5.Call data should be synced to the platform.
6.Each call should appear separately in the Real Call Library.
7.Separate call events should be created in the CRM activity timeline for each call.",Multiple calls for the same deal were conducted and each call was pushed as a separate event to CRM and displayed individually in the Real Call Library.
HeySales Studio> Call Library,TC0030_Verify call record pushed only once when one contact is mapped to multiple deals,porsudar@paperflite.com,"Validate that when a single contact is mapped to multiple deals, the call record is pushed only once to CRM to avoid duplicate entries",Manual,Medium,Functional,"1.Heysales should be enabled
2.CRM and Zoom should be Integrated
","1.Login to the platform.
2.Ensure CRM integration is active.
3.Map one contact to multiple deals in CRM.
4.Conduct a call with the contact..
5.Navigate to CRM activity timeline.
6.Verify the number of call records created.","1.User should login successfully.
2.CRM integration should be active for the account.
3.Contact should be mapped successfully to multiple deals.
4.Call should be conducted with the mapped contact.
5.CRM activity timeline should display the call record.
6.Only one call record should be created in CRM and duplicate entries should not be generated.","Call record was pushed only once to CRM even when the contact was mapped to multiple deals, and no duplicate records were created."
