Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test data,Steps,Expected Result,Actual Result
HeySales Studio> Elevator pitch Learners view ,TC0011 - Verify restart option during ongoing recording - video,porsudar@paperflite.com,Validate confirmation slider appears and recording restarts with countdown,Manual,Medium,Functional,1.Simulation - video type call should be started,NA,"1. Start speaking
2. Click Restart
3.Check confirmation slider is displayed
4. Confirm restart from the slider
5..Check the duration 
6.Click restart again 
7.Click cancel","1.user should start speaking 
2.After few seconds, click restart button
3.Confirmation slider should be displayed with confirm and cancel option
4.Learner should click confirm in the slider to restart the call
5.On clicking confirming, countown should appear again with black screen and the timer should start from the first
6.After few seconds, click restart again
7.On clicking cancel, user should navigate to the previous screen with same timer where they stopped 
",Restart option works correctly and restarts the video recording with countdown.
HeySales Studio> Elevator pitch Learners view ,TC0012 - Verify restart option during ongoing recording - audio,porsudar@paperflite.com,Validate confirmation slider appears and recording restarts with countdown,Manual,Medium,Functional,1.Simulation- audio type call should be started,NA,"1. Start speaking
2. Click Restart
3.Check confirmation slider is displayed
4. Confirm restart from the slider
5..Check the duration 
6.Click restart again 
7.Click cancel","1.user should start speaking 
2.After few seconds, click restart button
3.Confirmation slider should be displayed with confirm and cancel option
4.Learner should click confirm in the slider to restart the call
5.On clicking confirming, countown should appear again with blank screen and the timer should start from the first
6.After few seconds, click restart again
7.On clicking cancel, user should navigate to the previous screen with same timer where they stopped 
",Restart option works correctly and restarts the audio recording with countdown.
HeySales Studio> Elevator pitch Learners view ,TC0013 - Verify learner can manually end pitch before duration,porsudar@paperflite.com,Validate learner can stop recording anytime and submit,Manual,High,Functional,1.Simulation call should be started,NA,"1. Start pitch
2. Click End before duration completes","1.Learner should start speaking
2.After few seconds,user should be able to end the call by clicking end call",Learner is able to manually end the pitch before the defined duration.
HeySales Studio> Elevator pitch Learners view ,TC0014 - Verify Ending Pitch slider appears on manual End click,porsudar@paperflite.com,Validate that ending pitch slider is displayed when user manually clicks End during recording,Manual,Medium,Functional,1.Simulation call should be started,NA,"1.Click end 
2.Check slider appears","1.User should be able to end the call by clicking end CTA
2.On clicking end - Confirmation slider should appears with Confirm and  cancel",Ending Pitch slider appears correctly on clicking End.
HeySales Studio> Elevator pitch Learners view ,TC0015 - Verify clicking confirm ends call and starts assessment generation,porsudar@paperflite.com,Validate that clicking  confirm stops recording and initiates assessment processing,Manual,High,Functional,1.Simulation call should click end CTA in the pitch,NA,"1. Click Cancel in the slider
2.Click End button
3.Click confirm in the slider","1.On clicking cancel in the slider - it should return back to same previous state with same timer and it should starts resuming 
2.After few seconds, User should Click End CTA
3.In the slider, on clicking confirm , it should start processing call and proceed with report generation",Call ends successfully and assessment generation starts after confirmation.
HeySales Studio> Elevator pitch Learners view ,TC0016 - Verify pitch automatically ends at duration limit,porsudar@paperflite.com,Validate pitch stops exactly at configured duration,Manual,High,Functional,1.Simulation call should be started,NA,"1. Start pitch
2. Speak until the total duration
","1.User should start the pitch
2.On completing the pitch , Ending Pitch confirmation slider appears with Exit and restart option",Pitch automatically ends when the defined duration limit is reached.
HeySales Studio> Elevator pitch Learners view ,TC0017 - Verify pitch restarts with countdown after confirming restart,porsudar@paperflite.com,Validate recording resets and countdown appears again after restart confirmation,Manual,High,Functional,1.Simulation call should be started,NA,"1. Click Restart
2.After completing fully, in the slider appears again","1.On clicking confirming, countown should appear again with blank screen and the timer should start from the first
2.On completing , the end call confirmation screen appears again",Pitch restarts with countdown after confirming restart.
HeySales Studio> Elevator pitch Learners view ,TC0018 - Verify clicking Exit ends call and starts assessment generation,porsudar@paperflite.com,Validate that clicking Exit stops recording and initiates assessment processing,Manual,High,Functional,1.Simulation call should be completed fully,NA,"1. Click Exit in the slider
","1.On clicking Exit,it should start processing call and proceed with report generation",Clicking Exit ends the call and initiates assessment generation.
HeySales Studio> Elevator pitch Learners view ,TC0019 - Verify Processing Screen UI after clicking Exit,porsudar@paperflite.com,Validate all UI elements are displayed correctly on the processing screen after exiting the Elevator Pitch simulation,Manual,Medium,UI,Simulation call should be started and user clicks Exit after completion,NA,"1. Click Exit in slider
2. Observe the processing screen","1. User navigates to processing screen successfully
2. check following items are displayed in the screen:
Simulation name is displayed at the top of the screen correctly
Close (X) icon is visible at the top of the screen
Avatar is displayed at the center of the screen
Call duration is displayed below the avatar accurately
Processing Call button is visible and enabled
Exit CTA is visible
No UI misalignment or broken elements observed",Processing screen UI is displayed correctly after clicking Exit.
HeySales Studio> Elevator pitch Learners view ,"TC0020 - Verify Exit/Close navigation, CTA states and View Report flow",porsudar@paperflite.com,Validate navigation from processing screen to learner landing screen and correct CTA updates after processing,Manual,Medium,Functional,1.Simulation call should be started,NA,"1. Start Elevator Pitch simulation
2. Click Exit to navigate to processing screen
3. Click Close (X) icon
4. Repeat steps 1–2 and click Exit CTA
5. Observe landing screen CTAs
","1.Elevatorpitch should be started
2.User should click exit in the slider and should proceed processing screen
3. Clicking Close (X) navigates back to Learner Simulation Landing screen
4. Clicking Exit CTA also navigates back to Learner Simulation Landing screen
5. Landing screen displays Retake Simulation and Processing Simulation CTA (while processing pending)
",Exit/Close navigation works correctly and CTA states update as per flow.
HeySales Studio> Elevator pitch Learners view ,TC0021 - Verify CTA update after call processing completion,porsudar@paperflite.com,"Validate that after call processing is completed, the landing screen displays View Report and Retake Simulation CTAs",Manual,Medium,Functional,1.Simulation call should be completed,NA,1. Observe the transiition from the processing call CTA to view report after call is processed,1.“View Report” CTA and “Retake Simulation” CTA is displayed after call processed successfully,CTA updates correctly after call processing is completed.
HeySales Studio> Elevator pitch Learners view ,TC0022 - Verify score percentage display in simulation landing screen,porsudar@paperflite.com,"Validate that after processing, score in percentage (out of 100) at the top right of the screen",Manual,High,UI,1.Simulation call should be completed,NA,1.Observe the score is displayed at the top right of the screen after call is processed,"1.Score is displayed in percentage format (e.g., 85%) out of 100 and is  positioned at the top right corner of the screen",Score percentage is displayed correctly in the simulation landing screen.
HeySales Studio> Elevator pitch Learners view ,TC0023 - Verify detailed report contains configured scorecard and breakdown,porsudar@paperflite.com,Validate that clicking View Report navigates to Detailed Report screen and displays the same configured scorecard along with score breakdown,Manual,High,Functional,1.Simulation call should be completed,NA,"1. Click View Report CTA
2. Observe Detailed Report screen
3.Observe overall score is displayed along with Call logged date and time and duration
4.Observe view recording and close icon at the top of the screen","1. User navigates successfully to Detailed Report screen
2. Same scorecard parameters configured during simulation creation should be displayed and Score breakdown is shown for each parameter for out of 10
3.Overall score should be displayed out of 10 along with call logged date and time and duration
4.View call recording and close icon should be displayed at the top of the screen ",Detailed report displays the configured scorecard and breakdown correctly.
HeySales Studio> Elevator pitch Learners view ,TC0024 - Verify View Call Recording slider UI for Video Pitch,porsudar@paperflite.com,Validate that the recording slider displays a video player when a learner submits a video elevator pitch.,Manual,High,Functional,1.Simulation call should be completed,NA,"1. Click on ""View Call Recording"".
2.Observe the recording section in the slider.","1. The recording slider should open successfully.
2. The recorded video of the learner should be displayed and Video playback controls (Play, Pause, Seek) and collapse player should be functional along with the transcript in the right side slider.",View Call Recording slider UI is displayed correctly for Video Pitch.
HeySales Studio> Elevator pitch Learners view ,TC0025 - Verify View Call Recording slider UI for Audio Pitch,porsudar@paperflite.com,Validate that the recording slider displays a single avatar when a learner submits an audio-only elevator pitch.,Manual,High,Functional,1.Simulation call should be completed,NA,"1. Click on ""View Call Recording"".
2.Observe the recording section in the slider.","1. The recording slider should open successfully.
2.Since it is a one-sided audio pitch, exactly one avatar representing the learner should be displayed and Audio should be playable and collase player with a functional seek bar along with the transcript in the right side slider.",View Call Recording slider UI is displayed correctly for Audio Pitch.
HeySales Studio> Elevator pitch Learners view ,TC0026 - Verify Close icon navigation from Recording screen to Reports screen,porsudar@paperflite.com,Validate that clicking Close icon on the Call Recording screen navigates to the Reports screen,Manual,Medium,Functional,1.Simulation call should be completed,NA,"1.On Call Recording screen, click Close (X) icon",1.User navigates to Reports screen,Clicking Close icon navigates from Recording screen to Reports screen.
HeySales Studio> Elevator pitch Learners view ,TC0027 - Verify Close icon navigation from Reports screen to Simulation Landing screen,porsudar@paperflite.com,Validate that clicking Close icon on Reports screen navigates to Simulation Landing screen,Manual,Medium,Functional,1.Simulation call should be completed,NA,"1.In Detailed Report screen, Click Close (X) icon",1. User navigates to Simulation Landing screen,Clicking Close icon navigates from Reports screen to Simulation Landing screen.
HeySales Studio> Elevator pitch Learners view ,TC0028 - Verify simulation moves to Course Completion section with percentage displayed in My Courses,porsudar@paperflite.com,"Validate that after completing and exiting the report flow, simulation appears in Course Completion section with percentage score on card",Manual,Medium,Functional,1.Simulation call should be completed,NA,"1. Click Back from Simulation Landing screen
2. Check Course Completion section in mycourses","1. On clicking back button, it should navigate to the mycourses
2.Simulation appears under Course Completion section and Simulation card displays percentage score (e.g., 85%)
",Simulation moves to Course Completion section with percentage displayed correctly.
HeySales Studio> Elevator pitch Learners view ,TC0029 - Verify Learner Can Retake Simulation and Latest Score is Displayed After Completion,porsudar@paperflite.com,"Validate that once a learner completes a simulation, they are allowed to retake it. After retaking and completing the simulation, the system should update and display the latest score for the learner in the report screen without affecting previous attempt records.",Manual,High,Functional,1.Simulation call should be completed,NA,"1.Login as learner.
2.Navigate to My Courses and open the assigned simulation.
3.Complete the simulation with an initial score (e.g., 65%).
4.Click on the Retake option for the same simulation.
5.Complete the simulation again with a new score (e.g., 85%).
6.Navigate to the learner report / detailed report screen.
7.Observe the latest score card.","1.Learner should be able to login successfully.
2.The assigned simulation should be visible and accessible under My Courses.
3.The learner should be able to complete the simulation and receive the initial score of 65%.
4.The Retake option should be available and clickable after completion.
5.The learner should be able to retake and complete the simulation with a new score of 85%.
6.The learner report / detailed report screen should render successfully.
7.The latest score card should display the most recent attempt score (85%) for the learner.",Learner is able to retake simulation and latest score is displayed correctly.
HeySales Studio> Elevator pitch Learners view ,TC0030 - Verify Learner Status and Score Update in Course Creation Screen After Simulation Completion,porsudar@paperflite.com,"Validate that after a learner completes the simulation and the report is generated, the learner status in the Course Creation screen moves from In Progress to Completed, the score is updated correctly, and the appropriate icon is displayed (Flag icon )",Manual,High,Functional,1.Simulation call should be published,NA,"1.Login as admin.
2.Create and publish a course with a simulation and assign it to a learner.
3.Login as learner.
4.Navigate to My Courses and start the assigned simulation.
5.Complete the simulation and generate the report.
6.Login back as admin.
7.Navigate to the Course Creation screen.
8.Open the learner list section for the course.
9.Observe the learner status and score display","1.Admin user should be able to login successfully.
2.The simulation should be created, published, and assigned successfully.
3.Learner should be able to login successfully.
4.The assigned simulation should be accessible under My Courses.
5.The learner should be able to complete the simulation and the report should be generated successfully.
6.Admin user should be able to login successfully.
7.The Course Creation screen should render successfully.
8.The learner list section should display the assigned learner.
9.The learner status should move from In Progress to Completed, the score should be updated correctly, and if the learner has passed, a flag icon should be displayed",Learner status updates to Completed and score is reflected correctly in Course Creation screen.
HeySales Studio> Elevator pitch Learners view ,TC0031 - Verify Completion Rate Card Displays Correct Percentage and Updates Dynamically,porsudar@paperflite.com,Validate the completion rate card updates correctly as learners complete the elevator pitch,Manual,Medium,Functional,Elevator pitch assigned to multiple learners,Learners complete at different times,"1. Login as learner A and complete the elevator pitch
.2. Login as learner B and complete the elevator pitch
.3. Login as admin.
4. Open the detailed report screen of the simulation
.5. Check the completion rate card.","1.Learner A should be able to login and complete the elevator pitch successfully.
2.Learner B should be able to login and complete the elevator pitch successfully.
3.Admin user should be able to login successfully.
4.The elevator pitch report screen should render successfully.
5.The completion rate card should display the correct percentage based on completed learners out of total assigned learners and update dynamically.",Completion Rate Card displays correct percentage and updates dynamically.
HeySales Studio> Elevator pitch Learners view ,TC0032 - Verify Completion Card Displays 0% for Newly Created Elevator Pitch with No Learners,porsudar@paperflite.com,Validate newly created elevator pitch with no assigned learners shows 0% completion,Manual,Medium,Functional,Elevator pitch created but no learners assigned,No learners,"1. Login as admin
.2. Create a new elevator pitch.
3. Open the detailed report screen.
4. Check the completion rate card.","1.Admin user should be able to login successfully.
2.The elevator pitch should be created successfully.
3.The report screen should render successfully.
4.The completion rate card should display 0% when no learners are assigned or completed.",Completion Card displays 0% when no learners are assigned or completed.
HeySales Studio> Elevator pitch Learners view ,TC0033 - Verify Average Score Card Calculation for Single and Multiple Attempts,porsudar@paperflite.com,Validate average score card calculation across learners and attempts,Manual,Medium,Functional,Elevator pitch assigned and completed by multiple learners,Simulation A should be published for learner A and B,"1. Learner A completes pitch with 70
.2. Learner B completes pitch with 80.
3. Learner A retakes and scores 90.
4. Login as admin.
5. Open detailed report screen.
6. Check average score card.","1.Learner A should be able to complete the elevator pitch with score 70%.
2.Learner B should be able to complete the elevator pitch with score 80%.
3.Learner A should retake the pitch with score 90%
4.Admin user should be able to login successfully.
5.The detailed report screen should render successfully.
6.The average score card should display the calculated average score of all completed learners.",Average Score Card calculates correctly for single and multiple attempts.
HeySales Studio> Elevator pitch Learners view ,TC0034 - Verify Average Score Card UI Follows Design Specifications,porsudar@paperflite.com,Validate UI design of the average score card,Manual,Medium,UI,Elevator pitch completed,NA,"1. Login as admin.
2. Open detailed report screen
3. Check average score card UI.","1.Admin user should be able to login successfully.
2.The detailed report screen should render successfully.
3.The average score card UI should follow the design specifications including layout, font, and primary color.",Average Score Card UI matches design specifications.
HeySales Studio> Elevator pitch Learners view ,TC0035 - Verify Average Time Spent Card Calculation with and without Retakes,porsudar@paperflite.com,Validate cumulative time calculation,Manual,Medium,Functional,Learner completes multiple attempts,NA,"1. Login as learner.
2. Complete elevator pitch in 2 mins.
3. Retake pitch and complete in 1 mins 30 sec.
4. Login as admin.
5. Open detailed report screen.
6. Check average time spent card.","1.Learner should be logged in
2.Learner should be able to complete the elevator pitch in 2 minutes successfully.
3.Learner should be able to retake and complete the elevator pitch in 1 minutes 3o sec successfully.
4.Admin user should be able to login successfully.
5.The detailed report screen should render successfully.
6.The average time spent card should display the calculated cumulative/average time correctly.",Average Time Spent is calculated correctly with and without retakes.
HeySales Studio> Elevator pitch Learners view ,TC0036 - Verify Average Time Spent Card UI Compliance,porsudar@paperflite.com,Validate UI of average time spent card,Manual,Medium,UI,Elevator pitch completed,NA,"1. Login as admin.
2. Open detailed report screen.
3. Check average time spent card UI.","1.Admin user should be able to login successfully.
2.The detailed report screen should render successfully.
3.The average time spent card UI should follow the design specifications including layout and primary color.",Average Time Spent Card UI matches design specifications.
HeySales Studio> Elevator pitch Learners view ,TC0037 - Verify Navigation from Learner List to Detailed Report Screen,porsudar@paperflite.com,Validate clicking a learner navigates correctly,Manual,High,Functional,Multiple learners completed pitch,NA,"1. Login as admin.
2. Open elevator pitch.
3. Click any learner from the list.
4. Observe detailed report screen.","1.Admin user should be able to login successfully.
2.The elevator pitch report screen should render successfully.
3.Clicking on a learner should navigate to the detailed report screen.
4.The selected learner’s data should be displayed correctly.",Clicking learner navigates correctly to Detailed Report screen.
HeySales Studio> Elevator pitch Learners view ,TC0038 - Verify Detailed Report Screen UI Elements and Layout,porsudar@paperflite.com,Validate all UI elements and layout on detailed report screen,Manual,Medium,UI,Learner completed pitch,Completed learners,"1. Login as admin.
2. Open detailed report screen.
3. Check all UI elements.","1.Admin user should be able to login successfully.
2.The detailed report screen should render successfully.
3.All cards, breakdown section, dropdowns, and layout should follow the design specifications.",Detailed Report screen UI elements and layout are displayed correctly.
HeySales Studio> Elevator pitch Learners view ,TC0039 - Verify Latest Score Card Displays Most Recent Attempt Score,porsudar@paperflite.com,Validate latest attempt score displayed,Manual,Medium,Functional,"1.Simulation should be published 
2.Multiple attempts should be taken",NA,"1.Login as learner and complete the elevator pitch with 60%.
2.Retake and complete the elevator pitch with 85%.
3.Login as admin.
4.Open the detailed report screen.
5.Check the latest score card.","1.Learner should be able to complete the elevator pitch with 60%.
2.Learner should be able to retake and complete the elevator pitch with 85%.
3.Admin user should be able to login successfully.
4.The detailed report screen should render successfully.
5.The latest score card should display the most recent attempt score 85%",Latest Score Card displays the most recent attempt score correctly.
HeySales Studio> Elevator pitch Learners view ,TC0040 - Verify Team Average Best Score Calculation Across Completed Learners,porsudar@paperflite.com,Validate average best score for team displayed,Manual,Medium,Functional,Multiple learners completed,"Scores: 70%, 85%, 90%","""1. Login as a learner A
2. Open My courses
3. Start the simulation and complete
4. Login as a learner B
5. Open My courses
6. Start the simulation and complete
7. Now Login as admin
8. Click on any completed learner
9. Check the latest score card""","""1. User A should be able to login successfully
2. User A should be able to open My courses in hey sales and locate the assigned simulation
3. User A should be able to start the simulation and successfully complete it with respective score
4. User B should be able to login successfully
5. User B should be able to open My courses in hey sales and locate the assigned simulation
6. User B should be able to start the simulation and successfully complete it with respective score
7.  Admin user should be able to login successfully
8. The completed learmer should be added in the list and clicking on the learner A should navigate the admin to detailed report screen
9. The latest score card A should be the last attempts score in percentage and the average of team should be best score cumalation of User A and User B divided by number of completed users""",Team Average Best Score is calculated correctly across completed learners.
HeySales Studio> Elevator pitch Learners view ,TC0041 - Verify Attempts Taken Card Displays Correct Attempt Count and Graph,porsudar@paperflite.com,Validate attempts count and graphical representation,Manual,Medium,Functional,Learner completed multiple attempts,3 attempts,"1.Login as learner and complete the elevator pitch.
2.Retake the elevator pitch and complete it again.
3.Retake the elevator pitch a third time and complete it.
4.Login as admin.
5.Open the detailed report screen.
6.Check the attempts taken card.","1.Learner should be able to complete the elevator pitch successfully.
2.Learner should be able to retake and complete the elevator pitch successfully.
3.Learner should be able to complete the third attempt successfully.
4.Admin user should be able to login successfully.
5.The detailed report screen should render successfully.
6.The attempts taken card should display #3 and show graphical representation of all attempt scores.",Attempts Taken card displays correct attempt count and graph representation.
HeySales Studio> Elevator pitch Learners view ,TC0042 - Verify Ramp-Up Rate Card Displays Accurate Completion Time Difference,porsudar@paperflite.com,Validate time difference between assigned/enrolled and completion,Manual,Medium,Functional,Learner completed pitch,Completed after 2 hrs,"1.Login as admin and assign the elevator pitch to a learner.
2.Login as learner.
3.Complete the elevator pitch after 2 hours from assignment.
4.Login as admin.
5.Open the detailed report screen.
6.Check the ramp-up rate card.","1.Admin should be able to assign the elevator pitch successfully.
2.Learner should be able to login successfully.
3.Learner should be able to complete the elevator pitch after 2 hours.
4.Admin user should be able to login successfully.
5.The detailed report screen should render successfully.
6.The ramp-up rate card should display 2 hrs in primary color with subtext showing the assigned date.",Ramp-Up Rate Card displays accurate completion time difference.
HeySales Studio> Elevator pitch Learners view ,TC0043 - Verify Time Spent Card Displays Cumulative Time Across Attempts,porsudar@paperflite.com,Validate total time spent across attempts,Manual,Medium,Functional,Learner completed multiple attempts,NA,"1.Login as learner and complete the elevator pitch in 1 minutes 30 sec
2.Retake the elevator pitch and complete it in 2 minutes.
3.Login as admin.
4.Open the detailed report screen.
5.Check the time spent card.","1.Learner should be able to complete the elevator pitch in 1 minutes 20 sec successfully.
2.Learner should be able to retake and complete the elevator pitch in 2 minutes successfully.
3.Admin user should be able to login successfully.
4.The detailed report screen should render successfully.
5.The time spent card should display cumulative time ",Time Spent Card displays cumulative time across all attempts.
HeySales Studio> Elevator pitch Learners view ,TC0044 - Verify Learner Ranking is Calculated Based on Best Score and Updates Dynamically,porsudar@paperflite.com,Validate rank updates correctly as new scores are added,Manual,High,Functional,Learner completed multiple attempts,NA,"1.Login as learner A and complete the elevator pitch with 70%.
2.Login as admin and check the ranking.
3.Login as learner B and complete the elevator pitch with 90%.
4.Login as admin again.
5.Open the detailed report screen.
6.Check the updated ranking","1.Learner A should be able to complete the elevator pitch with 70% successfully.
2.The ranking should reflect learner A’s position based on score.
3.Learner B should be able to complete the elevator pitch with 90% successfully.
4.Admin user should be able to login successfully.
5.The detailed report screen should render successfully.
6.The ranking should be recalculated dynamically based on best score, placing learner B above learner A.",Learner ranking is calculated based on best score and updates dynamically.
HeySales Studio> Elevator pitch Learners view ,TC0045 - Verify Breakdown Section and Attempts Dropdown Functionality,porsudar@paperflite.com,Validate breakdown section displays call details and attempts dropdown works,Manual,Medium,Functional,Learner completed multiple attempts,Multiple attempts,"1.Login as learner and complete the elevator pitch.
2.Retake the elevator pitch and complete it again.
3.Login as admin.
4.Open the detailed report screen.
5.Verify the breakdown section.
6.Click on the attempts dropdown.
7.Switch between attempts.","1.Learner should be able to complete the elevator pitch successfully.
2.Learner should be able to retake and complete successfully.
3.Admin user should be able to login successfully.
4.The detailed report screen should render successfully.
5.The breakdown section should display last call logged date and duration and call recording should be displayed
6.The attempts dropdown should display all attempts with percentage and logged date and time.
7.Switching between attempts should update the respective attempt data correctly",Breakdown section and attempts dropdown function correctly.
HeySales Studio> Elevator pitch Learners view ,TC0046 - Verify Breakdown Displays Respective Score Card of the Simulation,porsudar@paperflite.com,Validate Breakdown Displays Respective Score Card of the Simulation,Manual,Medium,UI,Learner completed pitch,NA,"1.Login as learner and complete the elevator pitch simulation.
2.Login as admin.
3.Navigate to the Elevator Pitch report screen.
4.Click on a completed learner from the learners list.
5.Navigate to the Breakdown section.
6.Select a score category (e.g., Conversation Quality).
7.Observe the displayed score and related details.","1.Learner should be able to complete the elevator pitch simulation successfully.
2.Admin user should be able to login successfully.
3.The Elevator Pitch report screen should render successfully.
4.Clicking on the completed learner should navigate to the detailed report screen.
5.The Breakdown section should be displayed successfully.
6.The selected score category should be highlighted correctly.
7.The Breakdown section should display the respective score card details of the selected simulation including score, description, and scenario information.",Breakdown displays the respective configured scorecard correctly.
HeySales Studio> Elevator pitch Learners view ,TC0047 - Verify Call Recording Screen is Displayed on Clicking Call Recording,porsudar@paperflite.com,Validate Call Recording Screen is Displayed on Clicking Call Recording,Manual,High,Functional,Learner completed pitch,NA,"1.Login as admin.
2.Navigate to the Elevator Pitch report screen.
3.Click on a completed learner from the learners list.
4.Navigate to the Breakdown section.
5.Click on the Call Recording button.
6.Observe the right-side panel/screen.","1.Admin user should be able to login successfully.
2.The Elevator Pitch report screen should render successfully.
3.Clicking on the completed learner should navigate to the detailed report screen.
4.The Breakdown section should be displayed successfully.
5.The Call Recording button should be clickable.
6.On clicking the Call Recording button, the call recording panel should open on the right side displaying call transcript, waveform player, timestamps, speaker details, and playback controls.",Call Recording screen is displayed successfully on clicking Call Recording.
